track name= "chr18 t1519"  description= "test"  visibility= 2
chr18		36426720		36428194
chr18		5841430			5842924
chr18		27708591		27710083
chr18		29340108		29341595
chr18		27931766		27933264
chr18		32418373		32419846
chr18		57467126		57468622
chr18		10734832		10736320
chr18		24905156		24906629
chr18		694637			696136
chr18		2407578			2409080
chr18		8220563			8222059
chr18		43516974		43518468
chr18		77648728		77650201
chr18		28611568		28613066
chr18		68445754		68447227
chr18		8134123			8135623
chr18		79364631		79366130
chr18		5170946			5172410
chr18		38134672		38136172
chr18		816843			818315
chr18		25680532		25682028
chr18		27725470		27726942
chr18		30211210		30212704
chr18		56090192		56091660
chr18		63113634		63115132
chr18		57924136		57925600
chr18		59605382		59606856
chr18		27478157		27479660
chr18		61920676		61922136
chr18		32145			33646
chr18		86161			87662
chr18		140207			141708
chr18		3898766			3900230
chr18		14138192		14139693
chr18		24813386		24814859
chr18		41827926		41829390
chr18		64070030		64071494
chr18		73187974		73189463
chr18		5492627			5494123
chr18		40055332		40056823
chr18		70906949		70908442
chr18		41041786		41043285
chr18		47855809		47857305
chr18		53379166		53380631
chr18		60232633		60234109
chr18		69670206		69671670
chr18		70968304		70969789
chr18		7565204			7566677
chr18		35401608		35403086
chr18		47832890		47834377
chr18		12365396		12366888
chr18		38018424		38019919
chr18		50545673		50547168
chr18		66917768		66919246
chr18		6194228			6195695
chr18		34744230		34745690
chr18		51948168		51949632
chr18		33048410		33049906
chr18		39450922		39452394
chr18		39765576		39767070
chr18		54632209		54633705
chr18		43490701		43492187
chr18		4632410			4633894
chr18		37271077		37272578
chr18		49970210		49971674
chr18		76080772		76082236
chr18		1125170			1126636
chr18		47538503		47539975
chr18		53719113		53720604
chr18		194115			195582
chr18		22914084		22915576
chr18		7814678			7816142
chr18		34073255		34074732
chr18		41971208		41972708
chr18		65985524		65987000
chr18		61130416		61131850
chr18		1670719			1672175
chr18		50351120		50352593
chr18		62251650		62253119
chr18		40382348		40383821
chr18		35956410		35957881
chr18		14980296		14981769
chr18		22840730		22842198
chr18		34527503		34528998
chr18		71314493		71315966
chr18		72013712		72015209
chr18		1688483			1689936
chr18		74230168		74231643
chr18		22721362		22722860
chr18		71075938		71077432
chr18		31538512		31539989
chr18		68132941		68134440
chr18		56732931		56734426
chr18		54867290		54868780
chr18		80291878		80293375
chr18		33983280		33984772
chr18		44062583		44064072
chr18		69001260		69002718
chr18		65501178		65502644
chr18		15534795		15536263
chr18		22853842		22855343
chr18		35091322		35092817
chr18		44467535		44469010
chr18		15378205		15379700
chr18		34355616		34357105
chr18		42907323		42908795
chr18		33471420		33472907
chr18		45219311		45220806
chr18		15956421		15957897
chr18		49417933		49419409
chr18		73664114		73665587
chr18		39320463		39321957
chr18		69467897		69469388
chr18		35225668		35227125
chr18		53289884		53291333
chr18		61513854		61515320
chr18		15528178		15529662
chr18		46235161		46236658
chr18		12349269		12350733
chr18		60633369		60634863
chr18		69075340		69076764
chr18		34053472		34054947
chr18		56444292		56445799
chr18		63833802		63835275
chr18		28440003		28441492
chr18		79536718		79538205
chr18		54602823		54604296
chr18		15630638		15632098
chr18		40124210		40125696
chr18		40519098		40520551
chr18		43482371		43483847
chr18		72355201		72356676
chr18		28014959		28016459
chr18		24546925		24548401
chr18		14950340		14951807
chr18		15351409		15352884
chr18		22067991		22069475
chr18		44541734		44543231
chr18		52033207		52034683
chr18		55918632		55920108
chr18		2501011			2502505
chr18		12298208		12299669
chr18		42856892		42858393
chr18		50286331		50287807
chr18		64656483		64657963
chr18		14845219		14846708
chr18		9329151			9330649
chr18		27352143		27353637
chr18		28045067		28046530
chr18		6328470			6329954
chr18		45721920		45723394
chr18		49917678		49919189
chr18		54694096		54695482
chr18		38020748		38022213
chr18		53165030		53166464
chr18		1796099			1797592
chr18		44501879		44503355
chr18		49343349		49344845
chr18		58709535		58711011
chr18		40308781		40310270
chr18		8736372			8737849
chr18		45985047		45986480
chr18		64494367		64495838
chr18		57696458		57697787
chr18		77270801		77272261
chr18		3015855			3017345
chr18		49298860		49300317
chr18		23083181		23084656
chr18		36093673		36095136
chr18		64431502		64432977
chr18		77559356		77560831
chr18		64471176		64472652
chr18		10816763		10818257
chr18		1923810			1925240
chr18		60723804		60725266
chr18		45162215		45163695
chr18		25915693		25917166
chr18		74043037		74044498
chr18		49394371		49395830
chr18		60507560		60509022
chr18		52169909		52171378
chr18		60850394		60851873
chr18		56001587		56003077
chr18		59462837		59464295
chr18		42340002		42341494
chr18		47113718		47115220
chr18		53458543		53460010
chr18		67906139		67907605
chr18		34857264		34858746
chr18		46003388		46004872
chr18		56926624		56928094
chr18		13505963		13507428
chr18		70558051		70559525
chr18		53663412		53664721
chr18		15390327		15391813
chr18		54772613		54774094
chr18		44637854		44639345
chr18		72126948		72128418
chr18		13956617		13958080
chr18		44099178		44100672
chr18		11224106		11225603
chr18		11852806		11854100
chr18		64783008		64784478
chr18		65945557		65947038
chr18		32590165		32591650
chr18		5042686			5044147
chr18		34333217		34334659
chr18		70182170		70183667
chr18		80513496		80514950
chr18		69662654		69664145
chr18		6865042			6866536
chr18		37289161		37290618
chr18		28488933		28490397
chr18		49622518		49624011
chr18		23001714		23003211
chr18		65071600		65073014
chr18		56358320		56359808
chr18		26433411		26434874
chr18		77764980		77766464
chr18		45890064		45891516
chr18		48472306		48473602
chr18		5059498			5060954
chr18		74278861		74280346
chr18		9432519			9433995
chr18		23620781		23622256
chr18		23012415		23013675
chr18		35986768		35988232
chr18		51203936		51205400
chr18		71020958		71022421
chr18		33310527		33311985
chr18		74980724		74982228
chr18		30138377		30139859
chr18		71344917		71346213
chr18		72156307		72157685
chr18		28685203		28686687
chr18		50248463		50249822
chr18		59318462		59319952
chr18		54026620		54028084
chr18		54026620		54028084
